"Hwins","Awins","IsDraw","goals2H","Hgoals","Agoals","Hgoals1H","Agoals1H","HG_LY","HGA_LY","HM_LY","AG_LY","AGA_LY","AM_LY","HG_TY","HGA_TY","HM_TY","AG_TY","AGA_TY","AM_TY","Hrelegated","Hpromoted","Arelegated","Apromoted"
0,1,0,2,0,4,0,2,NA,NA,NA,72,46,46,1,3,1,1,1,1,0,1,0,0
0,0,1,0,0,0,0,0,49,49,46,57,54,46,1,1,1,3,2,1,0,0,0,0
0,1,0,1,0,1,0,0,NA,NA,NA,34,42,38,0,1,1,0,2,1,0,1,0,0
0,0,1,0,0,0,0,0,48,53,38,30,44,38,2,1,1,3,2,1,0,0,0,0
0,0,1,0,1,1,1,1,NA,NA,NA,40,43,38,0,0,1,1,0,1,0,1,0,0
1,0,0,1,2,0,1,0,84,23,38,42,58,38,2,2,1,3,3,1,0,0,0,0
1,0,0,4,6,2,3,1,47,45,38,39,51,38,0,2,1,0,3,1,0,0,0,0
1,0,0,1,2,1,2,0,46,53,38,56,44,38,2,3,1,2,0,1,0,0,0,0
0,0,1,0,0,0,0,0,38,32,38,46,45,38,2,1,2,4,3,2,0,0,0,0
0,1,0,2,1,2,0,1,NA,NA,NA,47,49,34,2,1,1,2,0,1,0,1,0,0
1,0,0,4,6,1,2,1,60,45,34,43,54,34,3,1,1,1,1,1,0,0,0,0
0,0,1,3,2,2,1,0,72,37,34,45,64,34,1,1,1,0,1,1,0,0,0,0
0,0,1,1,2,2,2,1,65,49,34,40,50,34,1,4,1,1,1,1,0,0,0,0
0,0,1,3,2,2,1,0,36,41,30,28,35,30,2,7,3,1,4,3,0,0,0,0
0,0,1,1,1,1,1,0,42,44,30,42,39,30,4,6,3,2,4,3,0,0,0,0
1,0,0,0,2,0,2,0,48,31,30,36,53,30,2,2,3,4,3,3,0,0,0,0
1,0,0,2,2,0,0,0,28,46,30,34,51,30,1,4,3,5,6,3,0,0,0,0
0,0,1,1,1,1,0,1,25,35,30,54,20,30,0,0,0,0,0,0,0,0,0,0
0,1,0,3,1,3,0,1,23,37,30,30,35,30,0,0,0,0,0,0,0,0,0,0
1,0,0,2,2,1,1,0,101,50,38,54,46,38,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,2,0,1,43,59,38,102,37,38,0,0,0,0,0,0,0,0,0,0
1,0,0,4,4,1,0,1,49,43,38,63,31,38,1,0,1,1,2,1,0,0,0,0
0,1,0,1,0,2,0,1,53,40,38,45,53,38,3,3,1,0,1,1,0,0,0,0
1,0,0,3,3,1,0,1,56,34,38,44,52,38,2,0,1,2,2,1,0,0,0,0
0,1,0,3,1,3,0,1,54,50,34,69,28,34,3,0,1,4,1,1,0,0,0,0
1,0,0,4,3,2,1,0,NA,NA,NA,45,69,34,1,1,1,2,3,1,0,1,0,0
1,0,0,2,3,1,2,0,57,53,34,45,59,34,3,2,1,0,3,1,0,0,0,0
1,0,0,3,2,1,0,0,46,65,34,NA,NA,NA,0,2,1,1,3,1,0,0,0,1
1,0,0,3,3,1,0,1,39,37,30,51,38,30,4,1,3,4,3,3,0,0,0,0
0,0,1,2,2,2,2,0,NA,NA,NA,61,31,30,5,3,3,6,1,3,0,1,0,0
1,0,0,1,2,0,1,0,58,18,30,28,59,30,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,0,0,43,33,30,NA,NA,NA,0,0,0,0,0,0,0,0,0,1
0,1,0,2,1,3,1,1,NA,NA,NA,19,33,30,0,0,0,0,0,0,0,1,0,0
1,0,0,2,2,0,0,0,21,35,30,41,41,30,0,0,0,0,0,0,0,0,0,0
1,0,0,2,3,0,1,0,39,37,30,NA,NA,NA,0,0,0,0,0,0,0,0,0,1
0,1,0,0,1,3,1,3,NA,NA,NA,71,27,38,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,3,1,2,0,2,2,0,1,1,0
0,1,0,1,0,2,0,1,NA,NA,NA,56,44,38,2,1,2,2,0,2,1,0,0,0
0,0,1,0,1,1,1,1,28,42,30,42,26,30,0,0,0,0,0,0,0,0,0,0
0,0,1,3,2,2,1,0,58,74,46,60,54,46,1,2,2,2,2,2,0,0,0,0
0,1,0,1,1,2,1,1,38,66,46,NA,NA,NA,1,4,2,1,2,2,0,0,0,1
0,1,0,1,1,2,1,1,59,60,46,62,50,46,2,5,2,2,1,2,0,0,0,0
0,1,0,3,1,2,0,0,67,66,46,67,64,46,5,0,2,4,2,2,0,0,0,0
1,0,0,1,1,0,0,0,NA,NA,NA,61,48,46,4,2,2,3,4,2,1,0,0,0
1,0,0,2,3,2,2,1,41,61,46,84,52,46,3,2,2,1,0,2,0,0,0,0
0,1,0,1,0,2,0,1,59,67,46,55,40,46,1,2,2,0,2,2,0,0,0,0
1,0,0,2,3,1,1,1,NA,NA,NA,70,62,46,3,1,2,3,2,2,1,0,0,0
0,1,0,1,1,2,0,2,70,56,46,58,65,46,3,2,2,1,7,2,0,0,0,0
0,1,0,2,0,2,0,0,NA,NA,NA,74,64,46,1,1,2,3,3,2,0,1,0,0
0,0,1,2,1,1,0,0,63,65,46,46,74,46,1,0,2,3,0,2,0,0,0,0
0,0,1,0,0,0,0,0,70,67,46,85,45,46,4,2,2,4,3,2,0,0,0,0
0,1,0,1,0,1,0,0,NA,NA,NA,63,65,46,4,2,2,6,5,2,0,1,0,0
0,0,1,0,2,2,2,2,74,77,46,NA,NA,NA,3,3,2,2,2,2,0,0,1,0
0,1,0,4,1,3,0,0,48,54,46,57,54,46,2,0,2,3,2,2,0,0,0,0
0,1,0,4,2,5,1,2,54,80,46,NA,NA,NA,2,4,2,1,3,2,0,0,0,1
0,0,1,2,1,1,0,0,NA,NA,NA,72,46,46,4,3,2,5,1,2,1,0,0,0
0,0,1,2,2,2,1,1,60,79,46,63,59,46,4,4,2,3,2,2,0,0,0,0
1,0,0,2,2,1,1,0,64,77,46,53,61,46,1,2,2,3,4,2,0,0,0,0
0,0,1,1,1,1,0,1,50,59,46,59,73,46,3,5,2,4,2,2,0,0,0,0
0,1,0,1,1,2,1,1,72,58,46,48,46,46,4,2,2,1,3,2,0,0,0,0
0,1,0,2,0,2,0,0,NA,NA,NA,NA,NA,NA,1,7,2,3,1,2,0,1,0,1
0,1,0,3,1,2,0,0,49,49,46,NA,NA,NA,1,1,2,0,5,2,0,0,1,0
0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,1,3,2,1,1,2,1,0,0,1
1,0,0,2,2,1,1,0,94,23,34,63,50,34,0,0,0,0,0,0,0,0,0,0
0,0,1,3,2,2,0,1,NA,NA,NA,38,41,34,2,4,2,2,6,2,0,1,0,0
1,0,0,0,1,0,1,0,NA,NA,NA,42,54,34,3,0,2,1,6,2,0,1,0,0
1,0,0,1,2,1,1,1,44,49,34,29,35,34,1,3,2,1,2,2,0,0,0,0
0,0,1,0,0,0,0,0,39,51,38,84,23,38,2,9,2,4,2,2,0,0,0,0
1,0,0,1,1,0,0,0,NA,NA,NA,63,56,38,2,2,3,5,3,3,1,0,0,0
0,0,1,1,1,1,0,1,46,45,38,43,59,38,4,3,3,3,6,3,0,0,0,0
0,0,1,4,2,2,0,0,36,38,38,NA,NA,NA,1,3,3,2,3,3,0,0,1,0
0,1,0,7,3,4,0,0,31,38,38,NA,NA,NA,4,6,3,3,3,3,0,0,0,1
0,0,1,1,1,1,1,0,57,58,38,51,47,38,6,5,3,2,1,3,0,0,0,0
0,0,1,0,0,0,0,0,47,37,38,49,54,38,3,2,3,7,6,3,0,0,0,0
1,0,0,0,1,0,1,0,NA,NA,NA,38,32,38,2,1,3,2,1,3,0,1,0,0
0,0,1,0,0,0,0,0,56,44,38,44,52,38,4,0,3,2,3,3,0,0,0,0
0,1,0,1,0,4,0,3,NA,NA,NA,43,43,38,2,5,3,1,4,3,1,0,0,0
0,1,0,1,0,1,0,0,45,59,34,40,50,34,1,6,2,3,3,2,0,0,0,0
1,0,0,1,3,2,2,2,42,39,30,39,37,30,3,5,4,7,2,4,0,0,0,0
1,0,0,2,3,0,1,0,30,35,30,NA,NA,NA,3,1,1,1,3,1,0,0,0,1
